capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,0.0,4.0,61.14742022358752,853.0,0.09660461866323593,0.738015421022699,1.0,,0.0,0.5,4.0,9.5,13.0,49.0,2.17180803153792e-10,0.4610528102781105,8.722454294319287e-11,0.18516885500559327,3.1995691194449974e-11,0.06792360617409471,3.414644896795594e-11,0.07248944671479954,1.0050658458075201e-10,0.2133652818274019,0.9370137206500065,2.7261340413962674,0.6462216652837038,0.2858547285422014
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,0.256,4.256,58.664844668677,775.0,0.08126645715056213,0.760841306584555,1.0,,0.0,0.5,4.25,8.0,14.0,48.75,2.3631813255422755e-10,0.41044591573126227,1.404845812042012e-10,0.24399872305714748,4.7834982934378436e-11,0.083081535734398,4.831637454079587e-11,0.08391763416064131,1.0280542227529536e-10,0.17855619131655098,0.9900366778138336,2.9368586040246414,0.6544446387884097,0.2624738254771923
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,0.512,4.512,57.10092818860303,775.0,0.07609672886816456,0.7645149923896236,1.0,,0.0,0.75,4.25,8.25,14.0,48.75,2.2260108080118573e-10,0.4032165581351309,1.3158279210317781e-10,0.23834727284653517,4.59705006799253e-11,0.08327033720228656,4.731245830661453e-11,0.08570114092277747,1.0459651052417896e-10,0.18946469089326984,0.9716362735161107,2.862331063551767,0.641563830981666,0.2751658318160473
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,0.768,4.768,57.06771416484105,775.0,0.11127446709978697,0.753500717925847,1.0,,0.0,0.75,4.0,8.0,17.5,48.75,2.6663728534615764e-10,0.43313033980898186,1.1134399118868015e-10,0.18086915592705677,3.972083619168516e-11,0.06452323145604444,6.125686420841973e-11,0.09950673768591844,1.3664621355748374e-10,0.22197053512199855,0.6484307792272779,2.8031633234344655,0.6139994957360386,0.321477272807917
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,1.024,5.024,57.09146170838508,775.0,0.12114301000274873,0.7355078257029459,1.0,,0.0,0.5,4.0,8.0,17.75,48.75,3.079230414416902e-10,0.449045126821135,1.2229409296539712e-10,0.17834185525061302,4.4439597040657314e-11,0.06480640226067963,6.241324225478748e-11,0.09101742484875551,1.4865852673021617e-10,0.21678919081881678,0.712021927321818,2.751917233936923,0.627386982071748,0.3078066156675723
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,1.28,5.28,57.32755881772745,775.0,0.13445127143664426,0.736254485089398,1.0,,0.0,0.75,4.0,8.0,16.75,49.0,3.626576078548406e-10,0.4339992376069026,1.4066192225303834e-10,0.16833279020186762,6.223783721730891e-11,0.07448120022185285,6.856299103330995e-11,0.08205063175847077,2.0149771750392995e-10,0.2411361402109061,0.9077468220001065,2.2600708594982954,0.6023320278087703,0.32318677196937684
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,1.536,5.536,57.70646410931794,775.0,0.13762440473630724,0.762222798688383,1.0,,0.0,0.75,4.0,9.0,18.25,48.75,4.293151677041122e-10,0.364090869658625,1.9127095586577566e-10,0.16221185250459927,1.1850857610356293e-10,0.1005039974858039,1.0345428631414643e-10,0.08773685140328008,3.365939244255151e-10,0.2854564289476918,1.1455163466470888,1.6139840858321237,0.5263027221632243,0.3731932803509719
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,1.792,5.792,57.87695569049914,775.0,0.15279573799878668,0.7378145326214122,1.0,,0.0,0.5,4.0,9.0,18.25,48.75,4.690514657930768e-10,0.3888855995411122,1.9611742566025362e-10,0.16259887927094274,1.1224406797247475e-10,0.09306036725544642,9.402651398465946e-11,0.07795638630370691,3.3470306914333766e-10,0.2774987676287917,1.1937491162416964,1.7472408939093944,0.551484478812055,0.3554551539324986
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,2.048,6.048,48.03498724887933,707.0,0.163690692177046,0.6264873946889118,1.0,,0.0,0.5,4.25,10.0,13.75,49.25,4.696629071966721e-10,0.5618490091521667,9.634046268334115e-11,0.11525030542220357,4.825626920057769e-11,0.057728078203057434,6.404273615924616e-11,0.0766131353000343,1.5762133299166094e-10,0.1885594719225379,0.7535010540553035,1.996434127199121,0.6770993145743703,0.2651726072225722
20260528-145251_s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,s01_20260528_ear_eeg_ch1_only_02_eyes_closed_rest_60s,0,2.304,6.304,47.4666619850185,771.0,0.13769826880383862,0.622415793738836,1.0,,0.0,0.75,4.25,11.0,13.75,49.5,3.6964118165632894e-10,0.6123912620443621,7.164767225265198e-11,0.11870000046189692,4.580049658893164e-11,0.07587851489564709,4.2840076721511284e-11,0.07097393351035026,7.367353801941039e-11,0.12205628908774357,1.0691039814579473,1.5643426947027184,0.731091262506259,0.19303022259809383
