t_capture_sec,timestamp_unix,block_idx,sample_idx,sample_in_block,status,ch1_uV,ch2_uV,ch3_uV,ch4_uV
0.04403725300107908,1779567055.6165676,3726,31276,0,12582912,7,0,0,0
0.04403725300107908,1779567055.6165676,3726,31277,1,12582912,13,0,0,0
0.04403725300107908,1779567055.6165676,3726,31278,2,12582912,11,0,0,0
0.04403725300107908,1779567055.6165676,3726,31279,3,12582912,-2,0,0,0
0.04403725300107908,1779567055.6165676,3726,31280,4,12582912,-13,0,0,0
0.04403725300107908,1779567055.6165676,3726,31281,5,12582912,-12,0,0,0
0.04403725300107908,1779567055.6165676,3726,31282,6,12582912,-6,0,0,0
0.04403725300107908,1779567055.6165676,3726,31283,7,12582912,-10,0,0,0
0.08676942599959148,1779567055.6592994,3727,31284,0,12582912,-25,0,0,0
0.08676942599959148,1779567055.6592994,3727,31285,1,12582912,-41,0,0,0
0.08676942599959148,1779567055.6592994,3727,31286,2,12582912,-42,0,0,0
0.08676942599959148,1779567055.6592994,3727,31287,3,12582912,-13,0,0,0
0.08676942599959148,1779567055.6592994,3727,31288,4,12582912,28,0,0,0
0.08676942599959148,1779567055.6592994,3727,31289,5,12582912,43,0,0,0
0.08676942599959148,1779567055.6592994,3727,31290,6,12582912,30,0,0,0
0.08676942599959148,1779567055.6592994,3727,31291,7,12582912,16,0,0,0
0.10862042500048119,1779567055.6811514,3728,31292,0,12582912,16,0,0,0
0.10862042500048119,1779567055.6811514,3728,31293,1,12582912,17,0,0,0
0.10862042500048119,1779567055.6811514,3728,31294,2,12582912,7,0,0,0
0.10862042500048119,1779567055.6811514,3728,31295,3,12582912,-8,0,0,0
0.10862042500048119,1779567055.6811514,3728,31296,4,12582912,-12,0,0,0
0.10862042500048119,1779567055.6811514,3728,31297,5,12582912,4,0,0,0
0.10862042500048119,1779567055.6811514,3728,31298,6,12582912,18,0,0,0
0.10862042500048119,1779567055.6811514,3728,31299,7,12582912,8,0,0,0
0.15147884600082762,1779567055.7240098,3729,31300,0,12582912,-12,0,0,0
0.15147884600082762,1779567055.7240098,3729,31301,1,12582912,-13,0,0,0
0.15147884600082762,1779567055.7240098,3729,31302,2,12582912,4,0,0,0
0.15147884600082762,1779567055.7240098,3729,31303,3,12582912,15,0,0,0
0.15147884600082762,1779567055.7240098,3729,31304,4,12582912,12,0,0,0
0.15147884600082762,1779567055.7240098,3729,31305,5,12582912,7,0,0,0
0.15147884600082762,1779567055.7240098,3729,31306,6,12582912,2,0,0,0
0.15147884600082762,1779567055.7240098,3729,31307,7,12582912,-1,0,0,0
0.18820180799957598,1779567055.7607334,3730,31308,0,12582912,6,0,0,0
0.18820180799957598,1779567055.7607334,3730,31309,1,12582912,14,0,0,0
0.18820180799957598,1779567055.7607334,3730,31310,2,12582912,10,0,0,0
0.18820180799957598,1779567055.7607334,3730,31311,3,12582912,2,0,0,0
