capture,condition,channel,window_start_sec,quality_score,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.0,1.0,True,0.2688697680504391,0.003227468493708359,0.6605586852290576,0.4059608890629556,0.3474576271186441,0.12090231469074027,0.4882088376353073,0.47476871125036446,42.995038081932705,0.24724782048892263,0.801765281574774,1.5725349643584907,0.8221375579268789,0.16158139645534375,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.256,1.0,True,0.270662851882938,0.0033246122332765567,0.6603960021346531,0.4070694544710383,0.34745762711864414,0.12102239720450116,0.4894639963180565,0.47565556357683064,42.96797710912142,0.25310657334418396,0.798016722009889,1.5078511418172982,0.801453947363079,0.17989522186894863,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.512,1.0,True,0.2739370916129567,0.003524660735998757,0.6608655581009134,0.40936205488374156,0.344406779661017,0.12098808414307949,0.49175596412906963,0.47748964390699333,41.911005136064816,0.2511742466061385,0.7992491874760498,1.577589872961766,0.7719016822119176,0.2060013073292768,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,0.768,1.0,True,0.2742493494007553,0.004631283925628147,0.6555065472254689,0.407689368639405,0.35563389830508485,0.1235830430227442,0.4919745445805287,0.4761514949115241,30.970715605077004,0.32874493013273676,0.7525898893881576,1.6330021547361686,0.6968750658014013,0.26402965502374703,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.024,1.0,True,0.276900542300987,0.007327974670590792,0.6455997695476103,0.4059452718373052,0.36789098305084755,0.1288032641942204,0.49383037961069093,0.4747562174698442,17.334433195703376,0.455010784193194,0.6872801293699795,2.0430673643732415,0.54622227556684,0.3910605739818391,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.28,1.0,True,0.27995109289962294,0.011810353631180246,0.6268949874027476,0.40138145597571667,0.353535012881356,0.1382634842693055,0.4959657650297361,0.47110516478057335,15.892389287125843,0.6495578934791574,0.6062230394872917,1.0850163945513858,0.5086154471209066,0.40953598569721883,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.536,1.0,True,0.28286481817484965,0.014029603230746514,0.6181115497681469,0.40020117423250373,0.3524410834440679,0.14278019968113387,0.4980053727223948,0.470160939386003,15.659501318270022,0.5349139470617035,0.6515023216182743,1.437732234721472,0.5167588065063858,0.41397382222931006,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,1.792,1.0,True,0.28547697776624004,0.01616915946982095,0.6123598129298105,0.39988597007348975,0.36527287486481363,0.14618401912995002,0.49983388443636806,0.4699087760587918,12.818250699662103,0.5140717845056513,0.6604706660735077,1.7260244166929772,0.48628631934597016,0.4373844089488322,delta
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,2.048,1.0,True,0.2909818746831524,0.019062483579281288,0.6060428830947183,0.40125322762720056,0.37579494382982515,0.15027560524338146,0.5036873122782067,0.47100258210176044,10.778179940900172,0.5633043364993348,0.6396707132759871,1.6087741281234142,0.4240185801867221,0.4864988729093061,gamma
20260523-201055_ear_eeg_ch1_only_eyes_closed_60s,ear_eeg_ch1_only_eyes_closed_60s,0,2.304,1.0,True,0.2940895036141185,0.023019262588209122,0.5990639208456751,0.4008305496451634,0.3844230403811346,0.1552901483863497,0.505862652529883,0.4706644397161307,9.342439005274295,0.5661252857980312,0.6385185202391127,1.3811351253710142,0.4036082470826806,0.48284627000188457,gamma
