capture,condition,channel,window_start_sec,quality_score,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.0,1.0,True,0.29425858686537637,0.007142000649399664,0.6401182675910106,0.41530947511934835,0.3983050847457627,0.13060090676525604,0.5059810108057634,0.48224758009547875,15.64568194623849,0.28906245748893683,0.7757576013352647,2.8248410571715077,0.7604076488019589,0.20774288520977513,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.256,1.0,True,0.29681578581324053,0.006888941180202687,0.6411015379639634,0.4173157990659935,0.3891525423728814,0.13009227347974456,0.5077710500692684,0.48385263925279487,17.058309310617464,0.2843838390238495,0.778583449595152,4.1716336879405995,0.7694262140947395,0.2046673453120516,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.512,1.0,True,0.29959831758857747,0.006838747717700437,0.6390010335194307,0.41838926816437605,0.3816474576271187,0.13079482428470457,0.5097188223120043,0.48471141453150096,17.099641257932493,0.3250908670606858,0.7546652270037092,3.8639776549274476,0.7616786355296802,0.21137822661009625,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,0.768,1.0,True,0.302522289289378,0.007035241663009128,0.6344733507793356,0.4187051608108632,0.36023905084745766,0.1325072343081885,0.5117656025025646,0.48496412864869065,17.250705705740256,0.3623533949268627,0.7340239351367154,3.419510700283589,0.7547586826384084,0.21542517299811476,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.024,1.0,True,0.30510254490801836,0.007246877137349363,0.6292057411445307,0.4185386635907976,0.3411587335593221,0.13448846073869142,0.5135717814356129,0.48483093087263823,17.671825100895823,0.38197786746999685,0.723600589799175,3.730864694361983,0.7608796124937685,0.20941339828991334,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.28,1.0,True,0.3093365843056626,0.00800024732487941,0.6151830693980014,0.41638285408798115,0.3270382971118645,0.13988608647187117,0.5165356090139639,0.483106283270385,19.173842070621557,0.527988766025092,0.6544550733778981,4.760282211143585,0.7655636565384909,0.2013515947435094,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.536,1.0,True,0.32097999356374307,0.007613227653817611,0.6220437939142187,0.4263523236864095,0.3154595392249493,0.13723327010500497,0.5246859954946202,0.4910818589491277,19.61093823996937,0.30145033244596225,0.7683735407031757,4.9523987539309156,0.6979621470542677,0.276781075032869,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,1.792,1.0,True,0.32981007673214985,0.008099134485656228,0.6272717606522042,0.4339216661041688,0.3044395340288652,0.13571932118740515,0.530867053712505,0.49713733288333517,16.415732943770102,0.30531127086563736,0.7661007932089099,2.062621308291076,0.6204611883837301,0.3354484096247319,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.048,1.0,True,0.3366019435669906,0.008246224435633205,0.6349813655016329,0.4410347412441153,0.29692855349688985,0.1331165679575902,0.5356213604968935,0.5028277929952923,14.82193263592407,0.274771630134097,0.7844542319235612,2.759904583521096,0.5953888510751141,0.36324498825289697,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.304,1.0,True,0.3447411372010483,0.008344157281483404,0.6426170126485425,0.4489976936076712,0.29076954946067,0.13050774780597443,0.541318796040734,0.5091981548861371,14.094840198965587,0.2786760033014999,0.7820589401948804,2.9544611354935575,0.5561621628771451,0.4035044744727521,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.56,1.0,True,0.3512472889882182,0.008557379812117153,0.6474948004589629,0.45493391800297883,0.2857191661509698,0.12893911671723923,0.5458731022917529,0.5139471344023832,13.690296163592407,0.30005228592485994,0.7691998320536836,2.707576829261235,0.5493398079717363,0.40937457694009927,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,2.816,1.0,True,0.3568292427783555,0.008789604353655117,0.6523672277646639,0.4602675375235634,0.2815778518370156,0.12738471311224359,0.549780469944849,0.5182140300188508,12.902776104129188,0.29274056543969756,0.7735504143127623,1.9586075633091014,0.5293460143685753,0.4271674138891576,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,3.072,1.0,True,0.36012417505226924,0.008551534730572258,0.6581061204502983,0.46441785594157936,0.3071650249470308,0.1252213554172677,0.5520869225365885,0.5215342847532636,13.788051743200226,0.26588903431252014,0.789958655844722,3.339434096357083,0.5693318272674198,0.3951180510812543,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,3.328,1.0,True,0.36233875917084934,0.00843967114869167,0.6615688917090028,0.46706930555920306,0.32814650689724323,0.1239366741484987,0.5536371314195946,0.5236554444473626,13.654399059577601,0.28064095197063105,0.7808589897544345,3.0994183238907387,0.5715858432977764,0.3922270898546951,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,3.584,1.0,True,0.36422319011245285,0.00859736998488305,0.662651974246118,0.4686732645592357,0.31636827124895983,0.12366009950403281,0.5549562330787171,0.5249386116473886,13.599847804102673,0.2985560816328452,0.7700861088239594,2.5442447342946366,0.5661807947802552,0.39330066261865215,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,3.84,1.0,True,0.36528583384060676,0.009211969119018431,0.6615579673215153,0.46898108055892473,0.30976096547499454,0.12444249136483178,0.5557000836884249,0.52518486444714,13.041413058730203,0.3142715083266883,0.7608777894519111,1.9396397177727926,0.5505681567467341,0.39919891176841393,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,4.096,1.0,True,0.3720203294801936,0.009025728607002334,0.6683329318799425,0.47572974032010573,0.3302751781301735,0.12195019743657176,0.5604142306361357,0.5305837922560848,13.427584753535994,0.24256787553095474,0.8047850098877176,2.5706952993726127,0.5085795380198759,0.4495317750349538,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,4.352,1.0,True,0.3815098043644961,0.00870352150033156,0.6774036318365354,0.48507264397970984,0.3470968325074202,0.11856601783242825,0.5670568630551475,0.538058115183768,12.832054138573037,0.22321331373976902,0.8175188977775806,2.6331237839668384,0.4591548582687591,0.5011934241704893,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,4.608,1.0,True,0.39139003468005273,0.008099380188792084,0.6901000845943431,0.4959385521500544,0.3303821145204914,0.11372956751469487,0.5739730242760371,0.5467508417200436,11.97431668225298,0.17322488085642374,0.8523515110470117,1.8913788781994625,0.4244259734689788,0.5393584111963439,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,4.864,1.0,True,0.39405155184002216,0.00978345364150537,0.6853257029167024,0.4959975047168602,0.3166760457712097,0.11649524884613277,0.5758360862880156,0.5467980037734883,10.98492830746746,0.3116889488840413,0.7623758672721496,0.889336219343572,0.42249037185318866,0.504051837414047,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,5.12,1.0,True,0.4033194994287128,0.008843545272663303,0.6988682113270143,0.5067615485931183,0.30543706939679877,0.11114443046277624,0.5823236496000991,0.5554092388744948,11.764954775959781,0.14491960162686296,0.8734237745388822,1.8787605887549697,0.40616034111312294,0.5578001857184111,delta
20260523-202120_fp1_fp2_ch1_only_quiet_30s,fp1_fp2_ch1_only_quiet_30s,0,5.376,1.0,True,0.4129881908764105,0.00838665837558817,0.7040840486689715,0.5148717411038067,0.30842449860029025,0.10902191090999241,0.5890917336134874,0.5618973928830455,14.413913074248024,0.22150606809997145,0.8186615082070489,3.1534233032919228,0.4436753157249378,0.5215538826045804,gamma
