capture,condition,channel,window_start_sec,quality_score,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.0,0.75,True,0.5031317665863794,0.0053694079025239805,0.7249327324587865,0.580762104641722,0.3305084745762712,0.0997636587760653,0.6521922366104655,0.6146096837133775,29.30164391730853,0.28009811888863373,0.7811901175663561,1.5368333484496695,0.38794854996745365,0.587512302884326,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.256,0.75,True,0.5013172241799372,0.005529655385193214,0.7225739556275547,0.5787570801866033,0.3305084745762712,0.10069339153073145,0.650922056925956,0.6130056641492827,27.80126289295115,0.3070644296728172,0.7650732261465503,1.4782935946984477,0.3877316347968334,0.585623161710798,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.512,0.75,True,0.49930533866601085,0.005740728697554382,0.7203682230047407,0.5766773481845663,0.3305084745762712,0.10160259560175111,0.6495137370662075,0.6113418785476531,26.808039580347273,0.31077422583020053,0.7629078908369947,1.3260589316318414,0.3808012736585027,0.590930029749394,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,0.768,0.75,True,0.49815257540396163,0.006001194720903214,0.7177110236722369,0.574998032297858,0.32745762711864407,0.1027019182833042,0.6487068027827732,0.6099984258382865,26.196254694458517,0.3265983924261744,0.7538076374136853,1.1655318001523574,0.3686114892218565,0.6021927953420749,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.024,0.75,True,0.49794624940300375,0.006067110081098906,0.7178826072585202,0.5749239746524345,0.3295322033898305,0.10268470901223228,0.6485623745821025,0.6099391797219477,25.12271302635525,0.3068604611638435,0.7651926351041155,1.4695618493448293,0.35196088138262216,0.6209216081881024,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.28,0.75,True,0.49392709431231424,0.0061105589763904705,0.721071119568899,0.5734275031521189,0.3281825084745763,0.10159697148553921,0.6457489660186199,0.6087420025216952,21.79920837725925,0.2583783954246131,0.7946735287487897,1.1640597793247618,0.3510754174301266,0.618200376410403,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.536,1.0,True,0.48516869663464246,0.006700327267583758,0.7190994525237114,0.5670444611958166,0.31944864,0.10267040434063049,0.6396180876442497,0.6036355689566534,20.94225910924293,0.2748640061219941,0.7843973907749938,0.9535261560949899,0.38506308456800165,0.5713982517916926,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,1.792,0.75,True,0.4758526352489615,0.006338940992035615,0.725966435779153,0.5633924654345286,0.3092360203932204,0.10003205912211965,0.6330968446742729,0.6007139723476229,18.770424184558113,0.18487860198469508,0.84396831736162,1.2457395798064321,0.3968782704964008,0.5730469033054071,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,2.048,1.0,True,0.4678554186790195,0.007514165934945704,0.7201258419541082,0.5561500668253005,0.3008616723156611,0.10284016317377687,0.6274987930753134,0.5949200534602406,16.076843476935146,0.3167229615647335,0.7594611996491268,0.9718372200005481,0.3478488158654403,0.5986547484914254,gamma
20260523-202208_fp1_fp2_ch1_only_eyes_open_60s,fp1_fp2_ch1_only_eyes_open_60s,0,2.304,1.0,True,0.46482851213549675,0.007363564309339938,0.7270945049767348,0.5566216096299301,0.2924692831632489,0.10030324005921383,0.6253799584948476,0.5952972877039442,14.316850293453385,0.19003837352033887,0.8403090372943256,1.3192565453870937,0.30518296332084743,0.6530019575788836,gamma
