capture,condition,channel,window_start_sec,quality_score,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.0,1.0,True,0.36784758495170256,0.006739498666775367,0.5879873579810777,0.4448965055119839,0.3305084745762712,0.14858509884002677,0.5574933094661918,0.5059172044095871,35.391820318149016,0.517085023517126,0.6591588371655122,1.3895276485624712,0.6386858004524741,0.34154106354855013,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.256,1.0,True,0.36585783828061497,0.006702410133597458,0.58770406635618,0.44350401810706275,0.32745762711864407,0.14866014336217534,0.5561004867964305,0.5048032144856502,34.85849891725589,0.5132472040505255,0.6608305617916768,1.64906898940249,0.6544597831490352,0.32627712730272995,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.512,0.75,True,0.36522195298697935,0.006746042260172891,0.5891848461545768,0.4436089655956385,0.328006779661017,0.1481702313150105,0.5556553670908856,0.5048871724765108,35.309771670976716,0.4863563539290938,0.672786170921356,1.468668018261889,0.6466285663820042,0.33214735865652734,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,0.768,1.0,True,0.3529077366564101,0.0073567143652605894,0.5755407198358217,0.43082928076920424,0.32540623728813567,0.1533426123948818,0.5470354156594871,0.4946634246153634,30.23023586546662,0.7077313284649872,0.5855722052495932,1.6201914374565436,0.7163367067807922,0.2591990434882702,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.024,1.0,True,0.3386639876013167,0.007946503444899881,0.5572564133808138,0.41517133662414074,0.3263246400000001,0.16012548255590014,0.5370647913209218,0.48213706929931255,27.75620973463572,0.8538466776461994,0.5394189347145659,1.6056004069494305,0.737744269616696,0.2391689793969886,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.28,1.0,True,0.32744418124549834,0.00781935239541079,0.5523914808569574,0.4061757361095091,0.32555230649491534,0.16174556075708196,0.5292109268718489,0.47494058888760726,28.16238896545384,0.6385006811051332,0.6103140581574538,1.9341787276803546,0.7424334457821946,0.23898721134676745,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.536,1.0,True,0.31553990892807166,0.007259479678697574,0.5568608348031943,0.4000022329843646,0.32491899302074584,0.1598173696100355,0.5208779362496502,0.4700017863874917,27.645920794558506,0.481025348673014,0.675207889502762,2.3091804063246455,0.7700865837572425,0.21541507018853354,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,1.792,1.0,True,0.3035837982137686,0.006849950134889944,0.5632276220894635,0.3944591365702618,0.3259250997007404,0.15732279985636635,0.512508658749638,0.4655673092562095,23.034290980245625,0.4482269345121882,0.6904995178242666,2.2383259681457157,0.7488052153148408,0.23509039766968814,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.048,1.0,True,0.28985492526451395,0.006542166503849139,0.5718307151984265,0.38854645174138336,0.32675010717833597,0.15411165790805276,0.5028984476851598,0.4608371613931067,19.454621749357127,0.3917652731478189,0.7185119641064467,2.000688131924838,0.7540645176627704,0.2276752352996047,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.304,1.0,True,0.2754879028555174,0.0061765370424862525,0.5787271635315289,0.3816216440921214,0.3274266133099643,0.15146024184158108,0.49284153199886216,0.4552973152736971,17.634395344023826,0.3888018895121519,0.7200451032896407,3.028077414511094,0.7719034028184273,0.21198367409465585,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.56,1.0,True,0.26245585773481844,0.0058721660609230494,0.5838987072726882,0.37496085507307286,0.32798134833789955,0.1494523603941592,0.48371910041437294,0.4499686840584583,17.719432455085816,0.3880401361984218,0.7204402624274157,3.147631615838623,0.7870767691863942,0.19687804782745316,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,2.816,1.0,True,0.2583244045767359,0.005868844021104328,0.587944238678942,0.373691346512508,0.3269108073319929,0.14803426507608822,0.48082708320371514,0.44895307721000643,19.397625973070607,0.4105874381076188,0.7089245040541986,2.8511600433860735,0.7347378534893602,0.24515152103482732,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.072,1.0,True,0.2592660587718487,0.005961367734655362,0.5949158015582946,0.37674346874710474,0.32298211624952233,0.14565435848212296,0.48148624114029415,0.4513947749976838,19.261662308351035,0.3760457846985524,0.7267200053284328,2.906571623071104,0.68803700941248,0.2886064889174491,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.328,1.0,True,0.257293823333135,0.006124492632015092,0.6032706277639316,0.37838570488391376,0.31060804718901514,0.14283620049343387,0.48010567633319456,0.45270856390713105,16.175073078001503,0.33372094994893386,0.7497820290137692,4.210122350110139,0.6827800861026783,0.28977337543582365,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.584,1.0,True,0.2502556389405989,0.006440767183553718,0.6062898396388714,0.3748676091849943,0.30046131055939923,0.14198505479570503,0.47517894725841925,0.4498940873479954,15.663923498488025,0.35814284273542984,0.7362995765431279,3.9348189283622603,0.7316360658294867,0.2384755730879782,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,3.84,1.0,True,0.24630223362534318,0.0067633554763886486,0.6067966693186662,0.37247528611800623,0.29214098652311415,0.1420173467981196,0.4724115635377403,0.447980228894405,15.481510382731257,0.3980422211570263,0.7152859798200866,4.137135029721577,0.714052908944846,0.25703062125585335,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.096,1.0,True,0.24722786701002014,0.0072327381985174,0.6092753020601314,0.3739444692775591,0.2853183208133604,0.1414549241079905,0.47305950690701415,0.4491555754220472,15.304433772320134,0.38321316350450546,0.7229543691286251,3.323677285101593,0.666891826018827,0.29928328659161685,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.352,1.0,True,0.25005758933317696,0.007534197825091494,0.6089342306615089,0.3756644137980932,0.28124915866017586,0.1417702478547815,0.47504031253322393,0.45053153103847454,15.38531387204372,0.43542686632710703,0.696656878485503,4.185649451894945,0.65292234531017,0.31771317179918657,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.608,1.0,True,0.2532452914437387,0.009418544167324374,0.6014902746221916,0.37513103555619726,0.276387021965751,0.14560045759099394,0.47727170401061714,0.4501048284449578,14.287090939053407,0.5405102759796548,0.6491355595516771,1.8012482201174507,0.6124093612312556,0.3362808263743313,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,4.864,1.0,True,0.25009734387730603,0.010770493234536598,0.5927624471439624,0.37003013002063584,0.2830780359780175,0.1495339641020621,0.4750681407141143,0.44602410401650866,12.51944972657249,0.5671686771906108,0.6380934066299206,2.8065691170302753,0.6581067527194622,0.29511495523325326,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.12,1.0,True,0.24918919767308048,0.012237611415400008,0.583664330192005,0.36625549405470414,0.2900900911968896,0.15367193185280836,0.4744324383711564,0.44300439524376334,12.377087168893304,0.6126104693561925,0.6201125560046785,2.7651294510507958,0.6382529074774205,0.3119398401535805,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.376,1.0,True,0.24834713069028536,0.013801833280172907,0.5733734309192902,0.36210633577043705,0.29583997647636473,0.15829049081036095,0.4738429914831998,0.4396850686163497,12.13482989638681,0.6674967240005591,0.5997013281040832,2.7065115324856475,0.6357387544182236,0.3119809500033737,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.632,1.0,True,0.25221279246445644,0.014528869102564294,0.5699064087478098,0.36340555816363007,0.3020803061343479,0.1599765218549335,0.4765489547251196,0.4407244465309042,13.906074521090508,0.5904979506182971,0.6287339129255273,2.8505040494074434,0.6149411632140609,0.33700456572948123,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,5.888,1.0,True,0.26647781401991677,0.015025805414008164,0.5747298490457949,0.37436602627897414,0.29346856289457207,0.15861132635307723,0.4865344698139419,0.44949282102317945,14.400628896999347,0.5149648503864931,0.6600813211859009,2.1442350801865655,0.5071729749519037,0.44196301707806274,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,6.144,0.75,True,0.2782174769328988,0.015129424103227327,0.5775048351640844,0.38296805231381376,0.2986103232684644,0.15770743335966836,0.4947522338530293,0.45637444185105114,13.98835867620903,0.5467160694869855,0.6465310729742865,2.711089747534667,0.5105207243699625,0.4453411248459258,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,6.4,1.0,True,0.28592146066689783,0.016376588792155762,0.56967419633034,0.3852349181491026,0.30282656677505604,0.16125881399928238,0.5001450224668287,0.4581879345192822,13.728568250581421,0.7280765648636601,0.5786780634172013,2.475690479299747,0.520443265389005,0.42720219309720053,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,6.656,1.0,True,0.28788629584780945,0.018458685658809565,0.5561238974482215,0.3817694564079537,0.30628388645046123,0.1673547815713488,0.5015204070934668,0.45541556512636305,13.114954942994068,0.8569747784299055,0.5385102757496203,2.19953188619969,0.5508590167991798,0.3885897029912996,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,6.912,1.0,True,0.2852420421499448,0.018259919803290718,0.5568928532158559,0.3803198260230137,0.3091188885842935,0.16695644924658953,0.4996694295049615,0.4542558608184111,11.65448467987586,0.5865611249232305,0.6302940266738928,2.6975928794591284,0.5922278122945027,0.36083101780825244,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,7.168,1.0,True,0.28281146648869715,0.017910069721827057,0.5597977746574517,0.3797566743477613,0.3114435903340359,0.1657123241890796,0.49796802654208816,0.4538053394782091,11.46333822834236,0.5434362044391844,0.6479049779422255,2.5563276778048407,0.594849370457506,0.35880999074491854,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,7.424,1.0,True,0.27651288689094927,0.01913473310340442,0.5506702443310016,0.3724679619949676,0.3148752694976383,0.1697029910013624,0.49355902082366465,0.4479743695959742,10.36124179800624,0.7414297868946249,0.5742407804887145,1.8949015026211384,0.6151807357758927,0.3267729459238186,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,7.68,1.0,True,0.27495355950036016,0.02119542401261615,0.5443824645425335,0.36925367626512084,0.31006212776772446,0.17324316301831388,0.4924674916502522,0.44540294101209676,10.658458093563953,0.7230891703619141,0.5803530178210127,1.319626496502144,0.5690564786046612,0.3580655615121095,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,7.936,1.0,True,0.2685928834145572,0.025532439155317083,0.5273242352887504,0.35914885657052487,0.30001365663394086,0.18203260309989358,0.4880150183901901,0.43731908525641994,10.092922917076846,0.9695265024194827,0.5077362496854906,1.0885810539318657,0.5959737320465975,0.31202283980286133,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,8.192,1.0,True,0.2681062676587434,0.02609492305835425,0.5254285936840796,0.3581690817676111,0.2978756052194925,0.18306169219850255,0.48767438736112045,0.43653526541408894,10.821446077500326,0.7163355668540711,0.5826366471137431,1.1818336857930043,0.5820664047652725,0.3492707633651652,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,8.448,1.0,True,0.26387089256985174,0.0266552790763327,0.5210456192344604,0.3538820469024648,0.2900207081443906,0.18495996466755527,0.4847096247988963,0.4331056375219719,10.45409241805592,0.7526381711864563,0.5705684244664897,1.4174201488798452,0.6184950192029629,0.3134894604878088,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,8.704,1.0,True,0.2614894469368136,0.026793234496335278,0.5172259832846526,0.35099723465855726,0.28357969254280707,0.18638650827298964,0.48304261285576955,0.4307977877268459,11.178897956021583,0.7634377072114107,0.5670741846472718,1.5275207633640933,0.6228618754814813,0.3137977158297803,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,8.96,1.0,True,0.2639516720660881,0.02590648173763172,0.5178836842303125,0.3528278763235666,0.28439975466476286,0.18557992364885137,0.4847661704462617,0.4322623010588534,12.267696639483667,0.712937294572907,0.5837925317875758,1.7780732773155656,0.6045397184773302,0.34292198763949727,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,9.216,1.0,True,0.26289243421489433,0.02415864779819845,0.5199012408744704,0.3528455165457459,0.28964847679120725,0.18373768676276447,0.48402470395042607,0.4322764132365969,14.59211736590921,0.646897173975247,0.6072024506403724,1.5179409839427913,0.678375024884003,0.2803917922419457,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,9.472,1.0,True,0.2556891214821126,0.021032634208740107,0.5323522866407288,0.3525212292876282,0.29395242893489165,0.17734791191142613,0.47898238503747886,0.4320169834301027,15.531858065095363,0.43113713035826345,0.6987450599763999,2.0111263601788054,0.7747734608227823,0.202681164040767,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,9.728,0.4,True,0.3034984292244488,0.031026824741588632,0.47828264872018256,0.36467290604795555,0.2929053985062722,0.20276850902996882,0.5124489004571142,0.44173832483836456,279.7213273417139,2.744418357460698,0.267064175134303,0.8185324770246671,0.765919158073822,0.12962979403147934,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,9.984,0.4,True,0.34114600443750176,0.04187224811566247,0.4322915556843924,0.3730469473739135,0.3027247996564991,0.22591491678564335,0.5388022031062513,0.44843755789913087,126.10488439124241,2.8330201960738273,0.2608908768647548,1.9056389606815372,0.7625890370454383,0.11391204518640147,delta
20260523-202323_fp1_fp2_ch1_only_eyes_closed_60s,fp1_fp2_ch1_only_eyes_closed_60s,0,10.24,0.4,True,0.3387194998017729,0.03459440842726443,0.46690299017301473,0.3835837214317075,0.29552247131154963,0.20907031891716682,0.537103649861241,0.4568669771453661,53.73838628874253,0.2948975245714665,0.7722618824952332,2.8715520592520836,0.9384001921982227,0.05527761010331855,delta
