channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,1.7300766920607642,0.06307416463179226,1.1198208286674132
ch1,theta,3.7691454992918025,0.13741339030487337,6.403975363941769
ch1,alpha,3.135889891162089,0.11432651290546592,12.720464725643897
ch1,beta,11.689341073217593,0.42616343348980407,13.367861142217246
ch1,gamma,7.1047914828677925,0.2590224986680644,32.49230123180291
ch2,delta,6.788812782128785,0.09201203723624521,1.7847144456886896
ch2,theta,8.244511516769833,0.11174182070135157,6.316489361702128
ch2,alpha,9.59053604219631,0.12998513698199352,11.548152295632699
ch2,beta,31.055027481969795,0.42090368916427967,19.7018477043673
ch2,gamma,18.102901886668477,0.24535731591612997,30.165173572228444
ch3,delta,7.082405670733797,0.09357710085124744,2.6420772676371778
ch3,theta,7.51285001678594,0.09926439636268873,7.191349384098544
ch3,alpha,9.882132131226719,0.13056880925225858,8.451147816349383
ch3,beta,32.79156726126767,0.43326236018335595,18.302071668533035
ch3,gamma,18.416288492472376,0.24332733335044934,33.89207726763718
ch4,delta,7.654822254584547,0.07888517699077673,2.712066069428891
ch4,theta,11.625017594776127,0.1197991984641555,4.654255319148936
ch4,alpha,13.684123681855532,0.14101888753332517,11.040733482642777
ch4,beta,40.062107342608975,0.41285170618461675,13.017917133258678
ch4,gamma,24.011453114737975,0.24744503082712588,30.567609182530795
