t_capture_sec,timestamp_unix,block_idx,sample_idx,sample_in_block,status,ch1_uV,ch2_uV,ch3_uV,ch4_uV
0.026271446000009746,1779980088.4857256,63943,513958,0,12582912,-1,1,-2,1
0.026271446000009746,1779980088.4857256,63943,513959,1,12582912,-6,1,-2,1
0.026271446000009746,1779980088.4857256,63943,513960,2,12582912,-91,1,-2,1
0.026271446000009746,1779980088.4857256,63943,513961,3,12582912,-264,1,-2,1
0.026271446000009746,1779980088.4857256,63943,513962,4,12582912,-283,1,-2,1
0.026271446000009746,1779980088.4857256,63943,513963,5,12582912,-28,1,-2,1
0.026271446000009746,1779980088.4857256,63943,513964,6,12582912,214,0,-2,1
0.026271446000009746,1779980088.4857256,63943,513965,7,12582912,147,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513966,0,12582912,-120,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513967,1,12582912,-226,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513968,2,12582912,-52,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513969,3,12582912,147,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513970,4,12582912,113,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513971,5,12582912,-84,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513972,6,12582912,-168,0,-1,1
0.07656389099975058,1779980088.5360186,63944,513973,7,12582912,-43,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513974,0,12582912,100,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513975,1,12582912,70,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513976,2,12582912,-82,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513977,3,12582912,-143,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513978,4,12582912,-42,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513979,5,12582912,70,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513980,6,12582912,44,0,-1,1
0.09925644399982048,1779980088.5587118,63945,513981,7,12582912,-76,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513982,0,12582912,-125,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513983,1,12582912,-49,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513984,2,12582912,41,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513985,3,12582912,34,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513986,4,12582912,-48,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513987,5,12582912,-84,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513988,6,12582912,-30,0,-1,1
0.12259343100004116,1779980088.5820491,63946,513989,7,12582912,32,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513990,0,12582912,18,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513991,1,12582912,-51,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513992,2,12582912,-79,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513993,3,12582912,-35,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513994,4,12582912,15,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513995,5,12582912,7,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513996,6,12582912,-45,0,-1,1
0.16660348000004888,1779980088.6260586,63947,513997,7,12582912,-68,0,-1,1
0.21099675400000706,1779980088.6704519,63948,513998,0,12582912,-35,0,-1,1
0.21099675400000706,1779980088.6704519,63948,513999,1,12582912,4,0,-1,1
0.21099675400000706,1779980088.6704519,63948,514000,2,12582912,2,0,-1,1
0.21099675400000706,1779980088.6704519,63948,514001,3,12582912,9,0,-1,1
0.21099675400000706,1779980088.6704519,63948,514002,4,12582912,136,0,-1,1
0.21099675400000706,1779980088.6704519,63948,514003,5,12582912,284,0,-1,1
0.21099675400000706,1779980088.6704519,63948,514004,6,12582912,180,0,-1,1
0.21099675400000706,1779980088.6704519,63948,514005,7,12582912,-140,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514006,0,12582912,-294,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514007,1,12582912,-106,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514008,2,12582912,154,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514009,3,12582912,147,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514010,4,12582912,-91,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514011,5,12582912,-227,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514012,6,12582912,-97,0,-1,1
0.23388443299973005,1779980088.6933396,63949,514013,7,12582912,99,0,-1,1
0.28993216599974403,1779980088.749387,63950,514014,0,12582912,101,0,-1,1
