capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.0,0.85,1.0,clean,True,0.5442084943013753,0.01142211765769705,0.679269124721054,0.5914797149482629,0.2542372881355932,0.11968018282513417,0.6809459460109627,0.6231837719586103,31.360255993076887,0.41429442689571266,0.7070663512317054,2.893446979205592,0.29881057095815383,0.6621972623661367,gamma
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.256,0.85,1.0,clean,True,0.5476907601137638,0.011448852290740533,0.6815291401460087,0.5945341931250496,0.2557627118644068,0.1189065549378783,0.6833835320796348,0.6256273545000397,30.53638461128841,0.40160412305557586,0.7134682208360289,2.4515028970168062,0.2538163068201002,0.7058019825347916,gamma
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.512,0.85,1.0,clean,True,0.549554287203448,0.011446535791169284,0.6829255471200998,0.5962342281742762,0.25701355932203396,0.11841630677222516,0.6846880010424137,0.626987382539421,29.71819336476901,0.40908475699593133,0.7096805178167981,2.7609317909641575,0.2566056323406954,0.7040033396694518,gamma
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,0.768,1.0,1.0,clean,True,0.5471385148370145,0.011844267353936986,0.6786228463730555,0.5931580308746288,0.25803925423728824,0.12018077754948969,0.6829969603859101,0.6245264246997031,33.002396415089116,0.44735560872705604,0.6909152069908381,2.910262440316668,0.32560617169251,0.6302112742213741,gamma
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.024,0.0,0.0,bad,False,0.4486535821663519,0.09971229923022833,0.6464707340259055,0.48638958531719567,0.30159218847457636,0.18854823759058154,0.6140575075164464,0.5391116682537566,245.06632624170575,0.07782823455131878,0.9277916164489581,3.4087682934391674,0.532676121939786,0.460936669915202,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.28,0.0,0.0,bad,False,0.36789593737640863,0.17176408536878723,0.6201060019012425,0.3988394599601005,0.33730559454915265,0.24460955482427688,0.5575271561634861,0.4690715679680804,184.79033231900942,0.143902387300192,0.8742004659641965,3.0061297749533344,0.31291857364058884,0.6598248660906565,gamma
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.536,0.0,0.0,bad,False,0.3016746686486551,0.23084655000240553,0.598486921559019,0.3270483571672824,0.36659058753030516,0.29057983495590706,0.5111722680540587,0.411638685733826,104.23918115614906,0.3292618246428101,0.752297238555265,2.3272533423617205,0.4235995321472055,0.5185402003651277,gamma
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,1.792,0.0,0.0,bad,False,0.2473732282918972,0.2792941710019725,0.5807592756783956,0.2681796528771716,0.3906042817748503,0.32827546466384383,0.47316125980432816,0.36454372230173737,129.52442483464995,0.29193320791054406,0.7740338230109919,2.2936166560895677,0.5738453278766232,0.38939398931084657,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.048,0.0,0.0,bad,False,0.20284604719935573,0.3190212202216175,0.5662226060562844,0.21990731535928074,0.4102955110553773,0.359185881024352,0.4419922330395491,0.3259258522874247,144.71609025317102,0.5522070118396806,0.644243965120434,0.9817421764523059,0.5937126294234316,0.33000506573116284,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.304,0.0,0.0,bad,False,0.1663337587034717,0.3515974005817264,0.5543025369661533,0.1803239985946102,0.4264423190654094,0.38453242243996866,0.41643363109243026,0.2942591988756883,144.7534275756457,0.5275368554383846,0.654648689120116,1.001358227250312,0.6012552938816398,0.32362443426924886,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.56,0.0,0.0,bad,False,0.1363936821368468,0.37830986847701564,0.5445280803122458,0.1478656788475804,0.43968270163363576,0.4053165864007743,0.3954755774957928,0.26829254307806444,174.50328994498338,0.5014736480784436,0.6660123547777858,1.6941252441228873,0.697252501799215,0.2512326513768794,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,2.816,0.0,0.0,bad,False,0.11184281935221438,0.4002140921511529,0.5365130258560415,0.12124985665501593,0.4505398153395813,0.4223596008486349,0.37828997354655014,0.24699988532401285,197.62961497239965,0.6699216589798798,0.5988304868164007,1.944409396711005,0.7155292360555009,0.2332162269592983,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.072,0.0,0.0,bad,False,0.0917111118688158,0.41817555556394537,0.5299406812019541,0.09942488245711308,0.45944264857845674,0.43633487269588067,0.3641977783081711,0.22953990596569054,208.2650004360325,0.3541969524688181,0.7384450232073273,1.3690711579263637,0.6781043985154279,0.2838326628125619,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.328,0.0,0.0,bad,False,0.07520311173242895,0.4329039555624352,0.5245513585856024,0.08152840361483273,0.46674297183433455,0.4477945956106222,0.35264217821270033,0.21522272289186625,212.29088210372947,0.3634792906243314,0.7334178134347885,1.2860874871368566,0.6763443227662671,0.2837857010331459,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.584,0.0,0.0,bad,False,0.061666551620591745,0.44498124356119695,0.520132114040194,0.06685329096416284,0.47272923690415436,0.4571915684007102,0.3431665861344143,0.20348263277133033,214.30446224800616,0.37743924049136096,0.7259848351905775,1.3100667115589661,0.6833602911250563,0.2766073633985421,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,3.84,0.0,0.0,bad,False,0.050566572328885236,0.45488461972018157,0.5165083335129591,0.05481969859061354,0.47763797426140664,0.4648970860885824,0.33539660063021975,0.19385575887249087,211.79334383253902,0.6068700168155139,0.6223278731489104,2.0785378176069376,0.7396092630993576,0.21568145441673586,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.096,0.0,0.0,bad,False,0.0414645893096859,0.4630053881705489,0.5135368334806265,0.0449521528443031,0.4816631388943534,0.4712156105926376,0.3290252125167802,0.18596172227544253,193.34040239867474,0.7514564906106527,0.5709533781481297,1.6153711899708958,0.7278054062461249,0.20494272467839586,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.352,0.0,0.0,bad,False,0.03400096323394244,0.4696644182998502,0.5111002034541138,0.03686076533232854,0.48496377389336986,0.4763968006859629,0.32380067426375975,0.17948861226586288,166.5906129465136,0.7859024872554371,0.5599409862136827,1.100798613669185,0.6424578034876688,0.2643385956988643,delta
20260524-115948_diag_atenuacion_mixed_states_ear_eeg,diag_atenuacion_mixed_states_ear_eeg,0,4.608,0.0,0.0,bad,False,0.027880789851832802,0.4751248230058772,0.5091021668323733,0.030225827572509408,0.4876702945925633,0.4806453765624896,0.319516552896283,0.17418066205800756,159.42752996520332,0.591810225226593,0.628215590114693,1.8800417232672386,0.7425186675517693,0.2146169769912344,delta
