channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.14293292751533007,0.1040322076749195,2.4771341463414633
ch1,theta,0.11750821593320641,0.08552710236877697,7.6273954703832745
ch1,alpha,0.1926799151835934,0.14024002236304559,10.1698606271777
ch1,beta,0.5342339598895713,0.38883649295062267,18.281794425087107
ch1,gamma,0.386574562613093,0.28136417464263525,31.190113240418114
ch2,delta,0.6021218999767433,0.09292965718624768,1.4862804878048779
ch2,theta,0.4161900998855973,0.06423351037086111,7.523954703832752
ch2,alpha,1.2540416451957404,0.1935449618919681,9.554660278745644
ch2,beta,2.5145683075853027,0.3880908015541885,20.606489547038326
ch2,gamma,1.692407878198272,0.2612010689967346,32.60561846689895
ch3,delta,0.15767416082036467,0.0851298550654888,3.2447735191637626
ch3,theta,0.19676814357565442,0.1062370870214092,6.995862369337979
ch3,alpha,0.2522427490632061,0.13618838088211194,12.249564459930312
ch3,beta,0.782284099311654,0.4223630025867641,17.492378048780488
ch3,gamma,0.4631914165037768,0.250081674444226,30.49869337979094
ch4,delta,0.15195746745185193,0.08735840189211255,1.6060540069686409
ch4,theta,0.18459461322988058,0.1061210790102468,5.629355400696864
ch4,alpha,0.2304180658665994,0.13246439506209562,9.903092334494772
ch4,beta,0.7449197719780112,0.4282448365918911,13.115200348432055
ch4,gamma,0.42758177693254473,0.24581128744365394,32.85605400696864
