freq_hz,psd_v2_per_hz
0.0,6.547602808833814e-14
0.25,4.4616236919900376e-14
0.5,3.2880759765743895e-14
0.75,3.217182885442131e-14
1.0,8.25290818449533e-15
1.25,4.853923073850725e-15
1.5,3.09221932277174e-15
1.75,2.8043950315608257e-15
2.0,4.660571279915692e-15
2.25,3.767601026456475e-15
2.5,4.400020076649232e-15
2.75,4.223455476461324e-15
3.0,3.5161487834701983e-15
3.25,3.4501350738739048e-15
3.5,3.2613629717308615e-15
3.75,3.2455166140968846e-15
4.0,2.944000859541856e-15
4.25,1.0238462698576786e-15
4.5,1.208777608995373e-15
4.75,7.344238180051206e-16
5.0,1.0581354082877972e-15
5.25,7.893314918085768e-16
5.5,7.550691975161498e-16
5.75,7.1659965819352185e-16
6.0,4.940021624089271e-16
6.25,6.860228786245943e-16
6.5,7.0608416036329625e-16
6.75,1.0755508289083478e-15
7.0,1.3647108521224353e-15
7.25,1.633616054119547e-15
7.5,1.7347237891297241e-15
7.75,1.831712730818969e-15
8.0,2.33416318540106e-15
8.25,1.480361537534762e-15
8.5,1.3632147110352824e-15
8.75,1.5501619577950128e-15
9.0,1.6902290005721423e-15
9.25,8.553256988144622e-16
9.5,1.5501927157207904e-15
9.75,1.4922318709503315e-15
10.0,9.76383536684766e-16
10.25,8.903114571701343e-16
10.5,3.687226312604378e-16
10.75,2.8323995030219797e-16
11.0,6.97506876687124e-16
11.25,9.407917853438017e-16
11.5,8.807130462917235e-16
11.75,1.4733100979343072e-15
12.0,1.2856350447128162e-15
12.25,1.112253987556425e-15
12.5,1.251681399707418e-15
12.75,1.2634991282684498e-15
13.0,7.808926186341817e-16
13.25,8.151249502477562e-16
13.5,1.0163852877834284e-15
13.75,1.0810992426332918e-15
14.0,1.4581999291859345e-15
14.25,1.928743662341227e-15
14.5,1.785080936387708e-15
14.75,1.192701337979704e-15
15.0,2.0445549577809228e-15
15.25,1.3650263139560482e-15
15.5,1.4789484594757583e-15
15.75,1.4080782309261623e-15
16.0,8.049898164883385e-16
16.25,6.774295090283543e-16
16.5,7.538720081868004e-16
16.75,1.081803381759492e-15
17.0,6.581316607518105e-16
17.25,6.463982128628401e-16
17.5,5.446722159259139e-16
17.75,7.554646691414772e-16
18.0,8.543526398591715e-16
18.25,1.1843625600237482e-15
18.5,1.283456802848224e-15
18.75,1.3203926322432702e-15
19.0,9.976880690274079e-16
19.25,8.459563694078876e-16
19.5,9.479600990996785e-16
19.75,1.4104257655185718e-15
