channel,band,bandpower_abs_uV2,bandpower_rel,peak_hz
ch1,delta,0.019408497944050616,0.17989747942863812,0.5208333333333334
ch1,theta,0.0036971837441925103,0.034269217457327666,7.083333333333334
ch1,alpha,0.006438332705118298,0.059676942992324046,12.8125
ch1,beta,0.012406976650258337,0.11500033815834904,29.791666666666668
ch1,gamma,0.06593544519602523,0.611156021963361,49.47916666666667
ch2,delta,0.0,0.0,0.5208333333333334
ch2,theta,0.0,0.0,4.0625
ch2,alpha,0.0,0.0,8.020833333333334
ch2,beta,0.0,0.0,13.020833333333334
ch2,gamma,0.0,0.0,30.0
ch3,delta,0.0,0.0,0.5208333333333334
ch3,theta,0.0,0.0,4.0625
ch3,alpha,0.0,0.0,8.020833333333334
ch3,beta,0.0,0.0,13.020833333333334
ch3,gamma,0.0,0.0,30.0
ch4,delta,0.0,0.0,0.5208333333333334
ch4,theta,0.0,0.0,4.0625
ch4,alpha,0.0,0.0,8.020833333333334
ch4,beta,0.0,0.0,13.020833333333334
ch4,gamma,0.0,0.0,30.0
