segment,start,end,windows,quality_score_median,quality_score_p95,rms_uV_median,rms_uV_p95,alpha_rel_median,alpha_rel_p95,alpha_abs_median,alpha_abs_p95,beta_rel_median,beta_rel_p95,gamma_rel_median,gamma_rel_p95,slow_power_rel_median,slow_power_rel_p95,fast_power_rel_median,fast_power_rel_p95,line_50_ratio_1_50_median,line_50_ratio_1_50_p95,low_quality_pct,activity_median,calmness_median,tension_median,rhythmic_density_median,register_median,harmonic_stability_median,velocity_factor_median,note_probability_median
eyes_open_1,0,30,110,1.0,1.0,48.996487058091645,62.98787338473893,0.058585111445643046,0.10612516146430781,1.3112600973184458e-11,2.481799585446758e-11,0.1159525013140556,0.17657596265037478,0.33448202519371495,0.46768611845641883,0.4746750948223895,0.6122129369756044,0.4579042592163983,0.6044945610262138,0.1832802238936826,0.2907322558606555,0.0,0.4236385898134377,0.022169186258264233,0.6002779717791147,0.5030678319067456,0.2864253557263126,0.1546815995511939,0.5965470128694064,0.5524542655253966
eyes_closed_1,30,60,117,1.0,1.0,53.14340975135111,116.36536340327649,0.07007291562673611,0.10886777893639213,1.3295971974484945e-11,2.991254247839038e-10,0.09665936469286775,0.32356768042111705,0.2985665645029401,0.4684751166415434,0.537938531489425,0.663411057004233,0.4010285539009605,0.7984504070004628,0.192558518327131,0.32941896946065785,0.0,0.3670547240225528,0.026541250031902976,0.5376849524658072,0.4188395161077271,0.2881250863231454,0.17836788156654093,0.556938306815787,0.4850716128861817
jaw,60,80,78,0.4,1.0,2332.3094572760183,3441.6928387628914,0.03492551878029815,0.1162221259318584,6.072314405654348e-10,2.008492782791986e-09,0.13461232020971994,0.3865341886457153,0.14335931684200393,0.3183384162059476,0.6692882920203576,0.7959739455225759,0.2909877084465835,0.7060326335691203,0.1308623485414354,0.21523331002054366,60.256410256410255,0.49623253131827416,0.015457524513673226,0.6448439457480328,0.5392905196799453,0.297894640438057,0.13747383570387706,0.6473627719227919,0.5814324157439563
recovery_1,80,110,117,0.8222594192451305,1.0,58.60044368432717,201.39155426490657,0.045918459563789926,0.11206877241363017,1.347445831024721e-11,1.6692569150799236e-10,0.06540286704873197,0.2177403390565914,0.2879224493135456,0.403837744833441,0.6093310063462163,0.7402456351151807,0.3462634936171917,0.5599568339934037,0.194712012348607,0.3495117023953897,11.11111111111111,0.24865097413364115,0.01721150868990057,0.5471217293777062,0.35858809209920217,0.2904617363073029,0.16908531277132302,0.47405568189354885,0.43687047367936177
blink_forehead,110,130,78,0.75,1.0,47.57225030896386,94.85847926121711,0.05279237163650712,0.10450147778896336,1.2380176429370817e-11,3.4449317832001493e-11,0.07500463595913584,0.09877627106746412,0.32920267764848565,0.39693628213236143,0.5350744487728993,0.6352243902096361,0.4075117744603245,0.48011255999546537,0.2613382403400625,0.35231479327476145,0.0,0.3383029404677105,0.024194580012436625,0.5339025052141001,0.4067309874262213,0.2935646299899841,0.17919125537617558,0.5368120583273974,0.4753847899409772
recovery_2,130,160,118,0.75,1.0,48.210344641195334,61.97912295574475,0.054498266012893426,0.09314033482009125,7.1692783119711304e-12,1.3561335149814551e-11,0.10001236980472986,0.14215548399038452,0.33333212673480267,0.46659062185910233,0.5055405947520535,0.6755002006953038,0.43185635854009713,0.601029874215663,0.25491180788710255,0.43502751406397644,0.0,0.3888215308399453,0.018746929326075076,0.5727830675713433,0.4577723811233157,0.2900157588742245,0.16226690285264084,0.5721750715879619,0.5162179048986526
eyes_closed_2,160,190,77,1.0,1.0,44.72438931947534,1708.7130607564682,0.07111073258442475,0.12036620376216665,1.7205052119832548e-11,3.3967890439575334e-10,0.08626373990999187,0.15281396117347743,0.270691129186639,0.39716610286687415,0.5532367939373487,0.7072328478153503,0.3588712622754734,0.5398187270465443,0.21271704102536246,0.28832269302091523,20.77922077922078,0.40811675115855756,0.03386408695645783,0.5020320682978839,0.44259616723448314,0.3057385146974032,0.19779265887281178,0.5856817258109904,0.5040769337875866
