t_capture_sec,timestamp_unix,block_idx,sample_idx,sample_in_block,status,ch1_uV,ch2_uV,ch3_uV,ch4_uV
0.005528627000330744,1779980195.2585082,67138,539518,0,12582912,197,0,0,0
0.005528627000330744,1779980195.2585082,67138,539519,1,12582912,26,0,0,0
0.005528627000330744,1779980195.2585082,67138,539520,2,12582912,-137,0,0,0
0.005528627000330744,1779980195.2585082,67138,539521,3,12582912,-79,0,0,0
0.005528627000330744,1779980195.2585082,67138,539522,4,12582912,103,0,0,0
0.005528627000330744,1779980195.2585082,67138,539523,5,12582912,155,0,0,0
0.005528627000330744,1779980195.2585082,67138,539524,6,12582912,20,0,0,0
0.005528627000330744,1779980195.2585082,67138,539525,7,12582912,-109,0,0,0
0.04831161200036149,1779980195.3012912,67139,539526,0,12582912,-66,0,0,0
0.04831161200036149,1779980195.3012912,67139,539527,1,12582912,79,0,0,0
0.04831161200036149,1779980195.3012912,67139,539528,2,12582912,126,0,0,0
0.04831161200036149,1779980195.3012912,67139,539529,3,12582912,22,0,0,0
0.04831161200036149,1779980195.3012912,67139,539530,4,12582912,-86,0,0,0
0.04831161200036149,1779980195.3012912,67139,539531,5,12582912,-66,0,0,0
0.04831161200036149,1779980195.3012912,67139,539532,6,12582912,33,0,0,0
0.04831161200036149,1779980195.3012912,67139,539533,7,12582912,62,0,0,0
0.07073664400013513,1779980195.3237169,67140,539534,0,12582912,-15,0,0,0
0.07073664400013513,1779980195.3237169,67140,539535,1,12582912,-84,0,0,0
0.07073664400013513,1779980195.3237169,67140,539536,2,12582912,-48,0,0,0
0.07073664400013513,1779980195.3237169,67140,539537,3,12582912,51,0,0,0
0.07073664400013513,1779980195.3237169,67140,539538,4,12582912,87,0,0,0
0.07073664400013513,1779980195.3237169,67140,539539,5,12582912,27,0,0,0
0.07073664400013513,1779980195.3237169,67140,539540,6,12582912,-37,0,0,0
0.07073664400013513,1779980195.3237169,67140,539541,7,12582912,-25,0,0,0
0.11480474400013918,1779980195.367785,67141,539542,0,12582912,36,0,0,0
0.11480474400013918,1779980195.367785,67141,539543,1,12582912,55,0,0,0
0.11480474400013918,1779980195.367785,67141,539544,2,12582912,7,0,0,0
0.11480474400013918,1779980195.367785,67141,539545,3,12582912,-40,0,0,0
0.11480474400013918,1779980195.367785,67141,539546,4,12582912,-25,0,0,0
0.11480474400013918,1779980195.367785,67141,539547,5,12582912,28,0,0,0
0.11480474400013918,1779980195.367785,67141,539548,6,12582912,48,0,0,0
0.11480474400013918,1779980195.367785,67141,539549,7,12582912,12,0,0,0
0.21806350700035182,1779980195.4710436,67142,539550,0,12582912,-25,0,0,0
0.21806350700035182,1779980195.4710436,67142,539551,1,12582912,-14,0,0,0
0.21806350700035182,1779980195.4710436,67142,539552,2,12582912,30,0,0,0
0.21806350700035182,1779980195.4710436,67142,539553,3,12582912,45,0,0,0
0.21806350700035182,1779980195.4710436,67142,539554,4,12582912,13,0,0,0
0.21806350700035182,1779980195.4710436,67142,539555,5,12582912,-23,0,0,0
0.21806350700035182,1779980195.4710436,67142,539556,6,12582912,-22,0,0,0
0.21806350700035182,1779980195.4710436,67142,539557,7,12582912,9,0,0,0
0.21954395600005228,1779980195.4725235,67143,539558,0,12582912,20,0,0,0
0.21954395600005228,1779980195.4725235,67143,539559,1,12582912,-6,0,0,0
0.21954395600005228,1779980195.4725235,67143,539560,2,12582912,-35,0,0,0
0.21954395600005228,1779980195.4725235,67143,539561,3,12582912,-33,0,0,0
0.21954395600005228,1779980195.4725235,67143,539562,4,12582912,-3,0,0,0
0.21954395600005228,1779980195.4725235,67143,539563,5,12582912,14,0,0,0
0.21954395600005228,1779980195.4725235,67143,539564,6,12582912,5,0,0,0
0.21954395600005228,1779980195.4725235,67143,539565,7,12582912,-13,0,0,0
0.22107064800002263,1779980195.4740503,67144,539566,0,12582912,-15,0,0,0
0.22107064800002263,1779980195.4740503,67144,539567,1,12582912,-1,0,0,0
0.22107064800002263,1779980195.4740503,67144,539568,2,12582912,7,0,0,0
0.22107064800002263,1779980195.4740503,67144,539569,3,12582912,-4,0,0,0
0.22107064800002263,1779980195.4740503,67144,539570,4,12582912,-18,0,0,0
0.22107064800002263,1779980195.4740503,67144,539571,5,12582912,-12,0,0,0
0.22107064800002263,1779980195.4740503,67144,539572,6,12582912,12,0,0,0
0.22107064800002263,1779980195.4740503,67144,539573,7,12582912,22,0,0,0
0.2438973360003729,1779980195.4968777,67145,539574,0,12582912,9,0,0,0
0.2438973360003729,1779980195.4968777,67145,539575,1,12582912,-12,0,0,0
0.2438973360003729,1779980195.4968777,67145,539576,2,12582912,-18,0,0,0
0.2438973360003729,1779980195.4968777,67145,539577,3,12582912,-5,0,0,0
0.2438973360003729,1779980195.4968777,67145,539578,4,12582912,6,0,0,0
0.2438973360003729,1779980195.4968777,67145,539579,5,12582912,0,0,0,0
0.2438973360003729,1779980195.4968777,67145,539580,6,12582912,-13,0,0,0
0.2438973360003729,1779980195.4968777,67145,539581,7,12582912,-18,0,0,0
0.26669121700024334,1779980195.519671,67146,539582,0,12582912,-8,0,0,0
0.26669121700024334,1779980195.519671,67146,539583,1,12582912,1,0,0,0
0.26669121700024334,1779980195.519671,67146,539584,2,12582912,-2,0,0,0
0.26669121700024334,1779980195.519671,67146,539585,3,12582912,-12,0,0,0
0.26669121700024334,1779980195.519671,67146,539586,4,12582912,-16,0,0,0
0.26669121700024334,1779980195.519671,67146,539587,5,12582912,-7,0,0,0
0.26669121700024334,1779980195.519671,67146,539588,6,12582912,1,0,0,0
0.26669121700024334,1779980195.519671,67146,539589,7,12582912,-3,0,0,0
0.2893371510003817,1779980195.5423164,67147,539590,0,12582912,-14,0,0,0
0.2893371510003817,1779980195.5423164,67147,539591,1,12582912,-17,0,0,0
0.2893371510003817,1779980195.5423164,67147,539592,2,12582912,-9,0,0,0
0.2893371510003817,1779980195.5423164,67147,539593,3,12582912,-5,0,0,0
0.2893371510003817,1779980195.5423164,67147,539594,4,12582912,-10,0,0,0
0.2893371510003817,1779980195.5423164,67147,539595,5,12582912,-16,0,0,0
0.2893371510003817,1779980195.5423164,67147,539596,6,12582912,-13,0,0,0
0.2893371510003817,1779980195.5423164,67147,539597,7,12582912,0,0,0,0
0.3321837210000922,1779980195.5851634,67148,539598,0,12582912,9,0,0,0
0.3321837210000922,1779980195.5851634,67148,539599,1,12582912,5,0,0,0
0.3321837210000922,1779980195.5851634,67148,539600,2,12582912,-3,0,0,0
0.3321837210000922,1779980195.5851634,67148,539601,3,12582912,-10,0,0,0
0.3321837210000922,1779980195.5851634,67148,539602,4,12582912,-6,0,0,0
0.3321837210000922,1779980195.5851634,67148,539603,5,12582912,0,0,0,0
0.3321837210000922,1779980195.5851634,67148,539604,6,12582912,1,0,0,0
0.3321837210000922,1779980195.5851634,67148,539605,7,12582912,2,0,0,0
0.3548496010002964,1779980195.607829,67149,539606,0,12582912,4,0,0,0
0.3548496010002964,1779980195.607829,67149,539607,1,12582912,12,0,0,0
0.3548496010002964,1779980195.607829,67149,539608,2,12582912,16,0,0,0
0.3548496010002964,1779980195.607829,67149,539609,3,12582912,12,0,0,0
0.3548496010002964,1779980195.607829,67149,539610,4,12582912,2,0,0,0
0.3548496010002964,1779980195.607829,67149,539611,5,12582912,-5,0,0,0
0.3548496010002964,1779980195.607829,67149,539612,6,12582912,-1,0,0,0
0.3548496010002964,1779980195.607829,67149,539613,7,12582912,3,0,0,0
0.3999241080000502,1779980195.6529043,67150,539614,0,12582912,0,0,0,0
0.3999241080000502,1779980195.6529043,67150,539615,1,12582912,-7,0,0,0
0.3999241080000502,1779980195.6529043,67150,539616,2,12582912,-10,0,0,0
0.3999241080000502,1779980195.6529043,67150,539617,3,12582912,0,0,0,0
0.3999241080000502,1779980195.6529043,67150,539618,4,12582912,13,0,0,0
0.3999241080000502,1779980195.6529043,67150,539619,5,12582912,16,0,0,0
0.3999241080000502,1779980195.6529043,67150,539620,6,12582912,8,0,0,0
0.3999241080000502,1779980195.6529043,67150,539621,7,12582912,0,0,0,0
0.4342437630002678,1779980195.6872234,67151,539622,0,12582912,1,0,0,0
0.4342437630002678,1779980195.6872234,67151,539623,1,12582912,9,0,0,0
0.4342437630002678,1779980195.6872234,67151,539624,2,12582912,15,0,0,0
0.4342437630002678,1779980195.6872234,67151,539625,3,12582912,12,0,0,0
0.4342437630002678,1779980195.6872234,67151,539626,4,12582912,4,0,0,0
0.4342437630002678,1779980195.6872234,67151,539627,5,12582912,3,0,0,0
0.4342437630002678,1779980195.6872234,67151,539628,6,12582912,8,0,0,0
0.4342437630002678,1779980195.6872234,67151,539629,7,12582912,14,0,0,0
0.4565562600000703,1779980195.7095358,67152,539630,0,12582912,15,0,0,0
0.4565562600000703,1779980195.7095358,67152,539631,1,12582912,11,0,0,0
0.4565562600000703,1779980195.7095358,67152,539632,2,12582912,11,0,0,0
0.4565562600000703,1779980195.7095358,67152,539633,3,12582912,12,0,0,0
0.4565562600000703,1779980195.7095358,67152,539634,4,12582912,9,0,0,0
0.4565562600000703,1779980195.7095358,67152,539635,5,12582912,1,0,0,0
0.4565562600000703,1779980195.7095358,67152,539636,6,12582912,-2,0,0,0
0.4565562600000703,1779980195.7095358,67152,539637,7,12582912,7,0,0,0
0.47928504700030317,1779980195.7322652,67153,539638,0,12582912,19,0,0,0
0.47928504700030317,1779980195.7322652,67153,539639,1,12582912,22,0,0,0
0.47928504700030317,1779980195.7322652,67153,539640,2,12582912,17,0,0,0
0.47928504700030317,1779980195.7322652,67153,539641,3,12582912,9,0,0,0
0.47928504700030317,1779980195.7322652,67153,539642,4,12582912,11,0,0,0
0.47928504700030317,1779980195.7322652,67153,539643,5,12582912,19,0,0,0
0.47928504700030317,1779980195.7322652,67153,539644,6,12582912,21,0,0,0
0.47928504700030317,1779980195.7322652,67153,539645,7,12582912,14,0,0,0
0.5333261400000993,1779980195.7863066,67154,539646,0,12582912,5,0,0,0
0.5333261400000993,1779980195.7863066,67154,539647,1,12582912,5,0,0,0
0.5333261400000993,1779980195.7863066,67154,539648,2,12582912,10,0,0,0
0.5333261400000993,1779980195.7863066,67154,539649,3,12582912,8,0,0,0
0.5333261400000993,1779980195.7863066,67154,539650,4,12582912,-2,0,0,0
0.5333261400000993,1779980195.7863066,67154,539651,5,12582912,-9,0,0,0
0.5333261400000993,1779980195.7863066,67154,539652,6,12582912,-3,0,0,0
0.5333261400000993,1779980195.7863066,67154,539653,7,12582912,6,0,0,0
0.5561691280004197,1779980195.8091495,67155,539654,0,12582912,3,0,0,0
0.5561691280004197,1779980195.8091495,67155,539655,1,12582912,-12,0,0,0
0.5561691280004197,1779980195.8091495,67155,539656,2,12582912,-24,0,0,0
0.5561691280004197,1779980195.8091495,67155,539657,3,12582912,-17,0,0,0
0.5561691280004197,1779980195.8091495,67155,539658,4,12582912,2,0,0,0
0.5561691280004197,1779980195.8091495,67155,539659,5,12582912,14,0,0,0
0.5561691280004197,1779980195.8091495,67155,539660,6,12582912,12,0,0,0
0.5561691280004197,1779980195.8091495,67155,539661,7,12582912,6,0,0,0
0.5790024290004112,1779980195.8319829,67156,539662,0,12582912,14,0,0,0
0.5790024290004112,1779980195.8319829,67156,539663,1,12582912,26,0,0,0
0.5790024290004112,1779980195.8319829,67156,539664,2,12582912,24,0,0,0
0.5790024290004112,1779980195.8319829,67156,539665,3,12582912,7,0,0,0
0.5790024290004112,1779980195.8319829,67156,539666,4,12582912,-5,0,0,0
0.5790024290004112,1779980195.8319829,67156,539667,5,12582912,-1,0,0,0
0.5790024290004112,1779980195.8319829,67156,539668,6,12582912,9,0,0,0
0.5790024290004112,1779980195.8319829,67156,539669,7,12582912,12,0,0,0
0.6779584190003334,1779980195.9309387,67157,539670,0,12582912,6,0,0,0
0.6779584190003334,1779980195.9309387,67157,539671,1,12582912,1,0,0,0
0.6779584190003334,1779980195.9309387,67157,539672,2,12582912,5,0,0,0
0.6779584190003334,1779980195.9309387,67157,539673,3,12582912,13,0,0,0
0.6779584190003334,1779980195.9309387,67157,539674,4,12582912,15,0,0,0
0.6779584190003334,1779980195.9309387,67157,539675,5,12582912,11,0,0,0
0.6779584190003334,1779980195.9309387,67157,539676,6,12582912,4,0,0,0
0.6779584190003334,1779980195.9309387,67157,539677,7,12582912,2,0,0,0
0.6794750600001862,1779980195.9324543,67158,539678,0,12582912,5,0,0,0
0.6794750600001862,1779980195.9324543,67158,539679,1,12582912,7,0,0,0
0.6794750600001862,1779980195.9324543,67158,539680,2,12582912,9,0,0,0
0.6794750600001862,1779980195.9324543,67158,539681,3,12582912,14,0,0,0
0.6794750600001862,1779980195.9324543,67158,539682,4,12582912,23,0,0,0
0.6794750600001862,1779980195.9324543,67158,539683,5,12582912,29,0,0,0
0.6794750600001862,1779980195.9324543,67158,539684,6,12582912,28,0,0,0
0.6794750600001862,1779980195.9324543,67158,539685,7,12582912,19,0,0,0
0.68091150500004,1779980195.9338908,67159,539686,0,12582912,6,0,0,0
0.68091150500004,1779980195.9338908,67159,539687,1,12582912,4,0,0,0
0.68091150500004,1779980195.9338908,67159,539688,2,12582912,14,0,0,0
0.68091150500004,1779980195.9338908,67159,539689,3,12582912,23,0,0,0
0.68091150500004,1779980195.9338908,67159,539690,4,12582912,23,0,0,0
0.68091150500004,1779980195.9338908,67159,539691,5,12582912,19,0,0,0
0.68091150500004,1779980195.9338908,67159,539692,6,12582912,19,0,0,0
0.68091150500004,1779980195.9338908,67159,539693,7,12582912,24,0,0,0
0.7347695540001951,1779980195.9877498,67160,539694,0,12582912,24,0,0,0
0.7347695540001951,1779980195.9877498,67160,539695,1,12582912,14,0,0,0
0.7347695540001951,1779980195.9877498,67160,539696,2,12582912,6,0,0,0
0.7347695540001951,1779980195.9877498,67160,539697,3,12582912,12,0,0,0
0.7347695540001951,1779980195.9877498,67160,539698,4,12582912,22,0,0,0
0.7347695540001951,1779980195.9877498,67160,539699,5,12582912,28,0,0,0
0.7347695540001951,1779980195.9877498,67160,539700,6,12582912,26,0,0,0
0.7347695540001951,1779980195.9877498,67160,539701,7,12582912,20,0,0,0
0.7363640480002687,1779980195.9893432,67161,539702,0,12582912,19,0,0,0
0.7363640480002687,1779980195.9893432,67161,539703,1,12582912,20,0,0,0
0.7363640480002687,1779980195.9893432,67161,539704,2,12582912,15,0,0,0
0.7363640480002687,1779980195.9893432,67161,539705,3,12582912,4,0,0,0
0.7363640480002687,1779980195.9893432,67161,539706,4,12582912,-1,0,0,0
0.7363640480002687,1779980195.9893432,67161,539707,5,12582912,10,0,0,0
0.7363640480002687,1779980195.9893432,67161,539708,6,12582912,25,0,0,0
0.7363640480002687,1779980195.9893432,67161,539709,7,12582912,28,0,0,0
0.7802730050002538,1779980196.033254,67162,539710,0,12582912,18,0,0,0
0.7802730050002538,1779980196.033254,67162,539711,1,12582912,6,0,0,0
0.7802730050002538,1779980196.033254,67162,539712,2,12582912,1,0,0,0
0.7802730050002538,1779980196.033254,67162,539713,3,12582912,6,0,0,0
0.7802730050002538,1779980196.033254,67162,539714,4,12582912,15,0,0,0
0.7802730050002538,1779980196.033254,67162,539715,5,12582912,20,0,0,0
0.7802730050002538,1779980196.033254,67162,539716,6,12582912,21,0,0,0
0.7802730050002538,1779980196.033254,67162,539717,7,12582912,22,0,0,0
0.8030737070002942,1779980196.0560539,67163,539718,0,12582912,24,0,0,0
0.8030737070002942,1779980196.0560539,67163,539719,1,12582912,22,0,0,0
0.8030737070002942,1779980196.0560539,67163,539720,2,12582912,14,0,0,0
0.8030737070002942,1779980196.0560539,67163,539721,3,12582912,8,0,0,0
